상점 이름,위도,경도,지번주소,도로명주소
겐로쿠 우동,37.58692713,127.029922,,서울특별시 성북구 인촌로27길 14
경대컵밥,,,,
고른햇살,37.58752559,127.0291026,,서울특별시 성북구 개운사길 27 원영스위트
김밥천국(정대후문점),,,,
꽌부이,37.58759748,127.029877,,서울특별시 성북구 인촌로27길 28
나주곰탕,37.58789671,127.029456,,서울특별시 성북구 개운사길 34
닭굽는신,37.58711099,127.029673,,서울특별시 성북구 인촌로27길 17 2층
더진국,37.58735601,127.0298996,,서울특별시 성북구 인촌로27길 24-2
도스마스,37.58760478,127.0295147,,서울특별시 성북구 개운사길 28
돈까스하우스,37.58711099,127.029673,,서울특별시 성북구 인촌로27길 17
동우설렁탕,37.58839056,127.0290576,,서울특별시 성북구 개운사길 45
등촌샤브칼국수,37.5869958,127.029125,,서울특별시 성북구 개운사길 11
떡뽀이,37.58734525,127.0296686,,서울특별시 성북구 개운사길 22-6
또와또,37.58750377,127.0298815,,서울특별시 성북구 인촌로27길 24-1
르구떼,,,,
마루 돼지불고기,37.58711454,127.0299085,,서울특별시 성북구 인촌로27길 18
만두방,37.58646244,127.0290433,,서울특별시 성북구 인촌로87
매스플레이트,37.58712907,127.0294647,,서울특별시 성북구 개운사길 18 2층
매콤돈까스 칡불냉면,37.58735601,127.0298996,,서울특별시 성북구 인촌로27길 24-2
멘부리,37.58733808,127.0295237,,서울특별시 성북구 개운사길 22-4
母心,37.58699209,127.0295779,,서울특별시 성북구 개운사길 8 타이거빌딩
무등산참숯갈비,37.58713637,127.0290934,,서울특별시 성북구 개운사길 15
무아국수집,,,,서울특별시 성북구 개운사길 21
박셰프의 스끼야끼,37.58750377,127.0298815,,서울특별시 성북구 인촌로27길 24-1
봉구스밥버거,37.58651247,127.0306963,,서울특별시 성북구 인촌로 101
부산아지매국밥,37.58666062,127.0291656,,서울특별시 성북구 개운사길 5 세한빌딩 2층
분식의 신,37.58627859,127.0292153,,서울특별시 성북구 인촌로 지하89
